Username,Team,Age_Range,Gender,Grade,Travel_Time,Special_Feature,Password
28466,Sonorus,30-39,Male,A,30-59,,plrulsc
50396,Sonorus,40-49,Male,A,60-89,,hywonww
24964,Wingardium Leviosa,40-49,,A,30-59,,gpcyrys
27774,Confringo,40-49,Male,A,30-59,,qbtewzj
10640,Confringo,40-49,Female,A,60-89,,zsbxwqb
12661,Locomotor Mortis,40-49,Male,A,0-29,,hzkgrga
24891,Sonorus,50-59,Female,A,60-89,,vieybws
19132,Fidelius Charm,50-59,Male,A,150-179,,qgejjaa
19736,Confringo,40-49,,A,0-29,,kysftlz
28636,Mobilicorpus,60>,Female,A,120-149,,yiptytz
21930,Deprimo,40-49,Female,A,30-59,,ziyroru
23495,Deprimo,40-49,Male,A,60-89,,jbwxral
10870,Deprimo,40-49,Female,A,60-89,,orobqwf
23274,Impedimenta,40-49,Male,A,180+,,jgllkix
12368,Reducto,50-59,Female,A,120-149,,lpgkjmx
13213,Reducto,40-49,Male,A,30-59,,thmcuwt
14212,Imperio,40-49,Male,A,60-89,,fuegfeg
14840,Imperio,40-49,Female,A,60-89,,tjjpzgq
22237,Imperio,40-49,Female,A,120-149,,kecottp
24568,Imperio,40-49,Female,A,120-149,,kzlpsyi
25435,Colloportus,50-59,Female,A,30-59,Standing Desk,ygothjw
14775,Deprimo,40-49,Female,A,0-29,,wwlyvay
18188,Deprimo,30-39,Male,A,90-119,,vtveize
25963,Geminio,40-49,Male,A,30-59,,puyrwod
21517,Confringo,50-59,Female,A,0-29,,oydsyze
21834,Confringo,60>,Male,A,150-179,,cjjcnun
26717,Reducto,50-59,Male,A,30-59,,tyoeryf
15283,Sonorus,40-49,Male,A,0-29,,anapxef
19868,Aparecium,50-59,Female,A,0-29,,wbxhpxu
10702,Impedimenta,40-49,Male,A,30-59,,qyizyzy
15291,Deprimo,30-39,Male,A,150-179,,vmfkkkx
16037,Confringo,50-59,Male,A,30-59,,nezzach
19439,Defodio,50-59,Female,A,30-59,,eyspjgd
24755,Sonorus,50-59,Male,A,30-59,,doozsot
12230,Duro,30-39,Male,A,60-89,,munmwhm
18647,Fidelius Charm,30-39,Male,A,30-59,,zxyhxcu
20795,Imperio,50-59,Male,A,150-179,,dbogljj
24001,Imperio,50-59,Male,A,90-119,,lmhzmor
22046,Sonorus,40-49,Male,A,180+,,wzrezwl
23738,Deprimo,40-49,Male,A,90-119,,ltxgrbc
26112,Aguamenti,50-59,Female,A,0-29,,jjsbfpd
24756,Impedimenta,50-59,Female,A,30-59,,cnuvlre
20592,Impedimenta,50-59,Male,A,30-59,,qlzbpiw
21663,Aparecium,50-59,Female,A,180+,,yzuthyz
21901,Locomotor Mortis,40-49,Female,A,150-179,,khhdwpy
23096,Deprimo,30-39,Female,A,30-59,,zwdcteg
23408,Aparecium,50-59,Male,A,150-179,,sgpahds
22066,Aparecium,60>,Female,A,150-179,,mrogbmm
13205,Liberacorpus,40-49,Male,A,30-59,,djczgwm
25934,Impedimenta,30-39,Male,A,0-29,,hqolmsr
14693,Impedimenta,40-49,Male,A,60-89,,pprebxy
13454,Sonorus,30-39,Female,A,180+,,pugfhgk
18633,Reducto,40-49,Female,A,60-89,,yhycgeq
14969,Confringo,60>,Male,A,90-119,,cjmyveu
12249,Confringo,40-49,Male,A,30-59,,aezhcce
22165,Sonorus,20-29,Female,A,30-59,,adswcox
15534,Stupefy,40-49,,A,30-59,,egamatp
17675,Impedimenta,40-49,Male,A,30-59,,rqhosoh
21405,Fidelius Charm,50-59,Male,A,60-89,,yuuawyn
23426,Mobilicorpus,50-59,Female,A,90-119,,dxjeuan
12276,Confringo,60>,Male,A,60-89,,ysppgvn
19048,Mobilicorpus,40-49,,A,0-29,,gyksbim
16475,Sonorus,30-39,Male,A,30-59,,jwziegx
24169,Protego Totalum,50-59,Male,A,60-89,,pcnpant
25254,Reducto,50-59,Female,A,30-59,,pnznwin
13158,Protego Totalum,40-49,,A,90-119,,chwydkd
17877,Deprimo,40-49,Male,A,0-29,,hvvkjls
16357,Imperio,40-49,Female,A,180+,,tbzjbci
10838,Sonorus,40-49,Male,A,90-119,,uqaikii
21655,Aparecium,50-59,Female,A,0-29,,uxlrivr
10870,Deprimo,40-49,Female,A,120-149,,xskepnd
20592,Impedimenta,50-59,Male,A,30-59,,zfzvkic
18520,Sonorus,30-39,Female,A,180+,,qquxnas
16348,Sonorus,40-49,Male,A,30-59,,frewykr
17238,Sonorus,50-59,Male,A,30-59,,wuerruf
24618,Confundo,50-59,Male,A,150-179,,nkcdknv
16785,Expecto Patronum,50-59,Female,A,150-179,,anunild
17513,Confringo,40-49,Male,A,90-119,,czujjlk
50562,Confringo,40-49,,A,90-119,,befiumo
19846,Reducto,30-39,Female,A,30-59,,fysylmk
50394,Locomotor Mortis,60>,Male,A,30-59,,ugqjkco
23756,Locomotor Mortis,30-39,Male,A,0-29,,gxjgzsa
21573,Confringo,50-59,Female,A,30-59,,xndtufe
27641,Reducto,50-59,Male,A,60-89,,yaxopvi
24150,Sonorus,50-59,Male,A,0-29,,dncvqkz
12448,Fidelius Charm,50-59,Male,A,180+,,yuppmdc
14072,Confringo,50-59,Female,A,30-59,,pgdywip
23662,Deprimo,50-59,Male,A,0-29,,xyehwbq
16934,Reducto,50-59,Male,A,90-119,,nldmfmy
19491,Imperio,50-59,Female,A,0-29,,gwpjqjk
18188,Oppugno,30-39,Male,A,30-59,,reaebul
17675,Deprimo,40-49,Male,A,90-119,,wdhcemg
24169,Scourgify,50-59,Male,A,90-119,,squxdvd
25934,Deprimo,30-39,Male,A,0-29,,bdpfiwn
14693,Deprimo,40-49,Male,A,180+,,yxotswj
20592,Wingardium Leviosa,50-59,Male,A,60-89,,yzdpdsw
23274,Deprimo,40-49,Male,A,30-59,,egelfrt
16785,Expulso,50-59,Female,A,150-179,,dtdggsy
15291,Oppugno,30-39,Male,A,60-89,,jpoapht
10702,Deprimo,40-49,Male,A,0-29,,xeycivd
24756,Deprimo,50-59,Female,A,120-149,,dmuzdbs
24169,Engorgio,50-59,Male,A,60-89,,vlugqkn
16427,Imperio,40-49,Female,A,0-29,,xxbczyf
23274,Locomotor,40-49,Male,A,30-59,,cfyhfwc
17513,Confringo,40-49,Male,A,30-59,,revkomi
20592,Wingardium Leviosa,50-59,Male,A,90-119,,hbhviea
13944,Mobilicorpus,30-39,Female,A,60-89,,bczcaiz
13492,Mobilicorpus,40-49,Male,A,60-89,,tsnaatc
28465,Imperio,50-59,Male,A,60-89,,gyfmlhr
12343,Oppugno,40-49,Male,A,60-89,,jahttwl
20592,Wingardium Leviosa,50-59,Male,A,30-59,,creqgwq
28471,Sonorus,30-39,Male,A,120-149,,jetyrxr
21907,Imperio,60>,Female,A,90-119,,prknqcb
23662,Wingardium Leviosa,50-59,Male,A,180+,,hsshdvb
11735,Deprimo,40-49,Male,A,180+,,ihutmdv
11254,Deprimo,30-39,Male,A,30-59,,cheiigg
10598,Deprimo,40-49,Male,B,150-179,,rhxdkbe
13283,Deprimo,40-49,Female,B,30-59,,capghjr
18503,Fidelius Charm,30-39,Male,B,30-59,,bejixdd
50659,Piertotum Locomotor,40-49,,B,150-179,,rxegpdj
23606,Protego Totalum,50-59,Male,B,60-89,,imunrwr
18865,Oppugno,60>,Male,B,30-59,,ocvixeq
28274,Reducto,50-59,Female,B,180+,,kozshmp
20876,Defodio,50-59,Male,B,90-119,,equcuqs
23089,Confringo,50-59,Male,B,30-59,,uyciccf
18836,Impedimenta,50-59,Female,B,180+,,eocwxru
24357,Locomotor Mortis,30-39,Female,B,120-149,,kwrzvjk
18687,Wingardium Leviosa,40-49,Male,B,120-149,,nhszkcy
19922,Sonorus,50-59,Male,B,30-59,,kidddvv
24743,Aparecium,50-59,Female,B,120-149,,jwtkvgu
50588,Aparecium,60>,Female,B,30-59,,dwdberr
10274,Deprimo,50-59,Male,B,0-29,,xyzqbyh
21836,Deprimo,50-59,Male,B,30-59,,ydxtkey
10618,Sonorus,60>,Male,B,180+,,uemtzjl
12615,Sonorus,40-49,,B,0-29,,uctbkvm
13737,Sonorus,40-49,Female,B,30-59,,bzdhowd
24602,Sonorus,50-59,Male,B,60-89,,kmmeuee
13355,Sonorus,20-29,Female,B,60-89,,gsifgjo
18931,Sonorus,40-49,,B,0-29,,jkeoqiz
23706,Sonorus,50-59,Male,B,150-179,,benfjzr
23807,Sonorus,50-59,Female,B,120-149,,rboipcq
24497,Sonorus,50-59,Male,B,30-59,,ysimarq
26292,Sonorus,50-59,Female,B,120-149,,lmhzxht
26941,Sonorus,60>,Male,B,0-29,,zqopwby
19184,Sonorus,50-59,Male,B,30-59,,dfnepne
21583,Meteolojinx Recanto,50-59,Male,B,30-59,Near Window,tineqmf
21697,Imperio,30-39,Male,B,0-29,,gplgpys
14372,Fidelius Charm,30-39,Female,B,120-149,,rjswlrw
26071,Fidelius Charm,40-49,Male,B,150-179,,xfsocnx
10219,Confringo,60>,Female,B,60-89,,hxnaxnt
18404,Confringo,60>,Female,B,90-119,,irqiaqy
23850,Confringo,50-59,Male,B,120-149,,ylwjsvd
13336,Confringo,40-49,Male,B,60-89,,kjborsn
14072,Confringo,50-59,Female,B,60-89,,stgqoit
15410,Confringo,40-49,Male,B,60-89,,wpoycyz
10007,Locomotor Mortis,60>,Male,B,150-179,,jwozgxh
10588,Locomotor Mortis,50-59,Female,B,60-89,,kkqwgyp
12048,Locomotor Mortis,50-59,Female,B,120-149,,usrnitt
18061,Locomotor Mortis,20-29,Female,B,0-29,,infftyy
12851,Duro,40-49,Female,B,60-89,,tlujtvw
24540,Duro,50-59,Female,B,30-59,,ikuclfc
12780,Mobilicorpus,40-49,Female,B,30-59,,yyuxchy
27632,Mobilicorpus,40-49,Male,B,30-59,,pqmcacd
21187,Sonorus,50-59,Male,B,30-59,,imchdgf
10880,Sonorus,50-59,Female,B,30-59,,rspbbrh
20073,Sonorus,50-59,Female,B,60-89,,pftmvjg
13713,Locomotor Mortis,30-39,Male,B,120-149,,eurmjdv
50512,Locomotor Mortis,40-49,Female,B,0-29,,stagudc
50555,Locomotor Mortis,60>,Male,B,150-179,,mvdpumt
15861,Mobilicorpus,40-49,Female,B,0-29,,zmpdfbv
12560,Levicorpus,50-59,Male,B,60-89,,qrntuoi
19644,Deprimo,50-59,Male,B,30-59,,pxthcja
20464,Deprimo,50-59,Male,B,150-179,,hxpyeqc
19489,Fidelius Charm,60>,Female,B,30-59,,nxmwpsi
19687,Defodio,50-59,Female,B,30-59,,yxtdgpo
23612,Impedimenta,40-49,Male,B,150-179,,sjxvbfa
25578,Wingardium Leviosa,50-59,Female,B,150-179,,yurzpxa
19172,Confringo,40-49,Female,B,180+,,tzlrqdc
16934,Reducto,50-59,Male,B,180+,,zxyalwn
22522,Mobilicorpus,50-59,Female,B,30-59,,vjdbfdx
13728,Sonorus,40-49,Male,B,90-119,,nltrwpw
13354,Sonorus,20-29,Male,B,30-59,,tfpzpgz
21655,Aparecium,50-59,Female,B,60-89,,zidogro
14386,Avada Kedavra,60>,Female,B,30-59,,abvyvtp
15730,Imperio,40-49,Male,B,120-149,,kkevbxb
11160,Locomotor Mortis,50-59,Female,B,90-119,,lyhivaf
24791,Confringo,50-59,Female,B,0-29,,oedswmg
27765,Aparecium,50-59,Female,B,30-59,,fjconbs
14046,Duro,30-39,Male,B,30-59,,sqnddde
50405,Locomotor Mortis,40-49,Male,B,180+,,zjjdpoc
15625,Locomotor Mortis,30-39,Male,B,60-89,,hcybsfz
21789,Locomotor Mortis,50-59,Male,B,30-59,,rzhyqzm
18116,Reducto,60>,Female,B,30-59,,ssixylh
21910,Fidelius Charm,50-59,Female,B,0-29,,renyjav
14100,Locomotor Mortis,30-39,Male,B,30-59,,smacwpn
25386,Deprimo,50-59,Female,B,30-59,,ddxlyah
27859,Impedimenta,30-39,Female,B,0-29,,xilxppf
25834,Meteolojinx Recanto,30-39,Male,B,30-59,,gxflfsr
14106,Meteolojinx Recanto,40-49,Male,B,60-89,,lzllbqm
20154,Aparecium,50-59,Female,B,180+,,doedidr
23197,Avada Kedavra,50-59,Female,B,30-59,,bqlzlzu
10799,Deprimo,50-59,Female,B,60-89,,prwtdsf
16842,Sonorus,30-39,Male,B,60-89,,zwfythq
18083,Confringo,60>,Female,B,60-89,,mqvkxak
20444,Reducto,50-59,Female,B,60-89,,ojybtxs
12269,Sonorus,50-59,Female,B,30-59,,qssdkxm
11064,Sonorus,40-49,Female,B,150-179,,emmwnlf
13155,Reducto,50-59,Male,B,60-89,,aklzdms
12493,Locomotor Mortis,40-49,Female,B,0-29,,agrfxlh
24400,Confringo,50-59,Female,B,90-119,,tfkwytu
24474,Confringo,30-39,Female,B,180+,,qsrgcdr
14714,Duro,40-49,Male,B,150-179,,mcmqhvt
24529,Duro,40-49,Male,B,30-59,,hhcenoh
13237,Mobilicorpus,20-29,Male,B,60-89,,hpakfww
13242,Mobilicorpus,20-29,Male,B,180+,,jttofgr
24313,Mobilicorpus,50-59,Male,B,0-29,,rkjsobs
18085,Fidelius Charm,20-29,Female,B,120-149,,ihwrofm
26968,Fidelius Charm,30-39,Female,B,120-149,,rigiujv
13295,Confringo,30-39,Male,B,30-59,,alixieq
14157,Confringo,20-29,Female,B,90-119,,sdebijc
50238,Confringo,30-39,Male,B,90-119,,eebhggj
23759,Locomotor Mortis,40-49,Female,B,180+,,roykypt
12359,Locomotor Mortis,40-49,Female,B,0-29,,fpejhaz
19692,Locomotor Mortis,30-39,Female,B,30-59,,wqhrdgn
13234,Locomotor Mortis,20-29,Male,B,30-59,,zjbqird
14050,Locomotor Mortis,20-29,Female,B,150-179,,wraawkn
21915,Locomotor Mortis,40-49,Female,B,60-89,,ibocscn
10170,Duro,40-49,,B,60-89,,qvpufop
11036,Mobilicorpus,50-59,Female,B,30-59,,wkybkbb
10596,Fidelius Charm,50-59,Male,B,150-179,,xnfvbxm
21199,Mobilicorpus,30-39,Female,B,180+,,wdgucxd
18068,Sonorus,60>,Male,B,60-89,,ywozfol
11287,Confringo,50-59,Female,B,180+,,yfuxxvi
11657,Confringo,50-59,Female,B,60-89,,ltgqhgw
14127,Locomotor Mortis,20-29,Male,B,30-59,,fwvzohe
21568,Locomotor Mortis,50-59,Male,B,30-59,,ojtzoha
20420,Locomotor Mortis,50-59,Male,B,30-59,,rwqixlh
11866,Mobilicorpus,40-49,Male,B,60-89,,eelohlx
12803,Deprimo,40-49,,B,60-89,,lejcemw
16173,Fidelius Charm,20-29,Male,B,90-119,,jiulyzt
13821,Fidelius Charm,50-59,Male,B,90-119,,qjhtgrm
13913,Confringo,20-29,Male,B,150-179,,bkcyfau
14615,Obscuro,30-39,Female,B,120-149,,dpddxdx
14663,Obscuro,30-39,Female,B,30-59,,kqoqlcj
24637,Mobilicorpus,40-49,Female,B,120-149,,jjewmzr
26716,Sonorus,50-59,Male,B,30-59,,myjncrs
18495,Avada Kedavra,50-59,Female,B,90-119,,tvairbu
21907,Imperio,60>,Female,B,120-149,,hwfbjvt
15900,Diffindo,50-59,Male,B,150-179,,wqwxjco
22512,Deprimo,50-59,Male,B,30-59,,sejnakj
11430,Protego Totalum,50-59,Female,B,150-179,,oeqwxze
12909,Confringo,50-59,Male,B,180+,,hbmpves
13333,Obscuro,40-49,Female,B,0-29,,krympsk
22603,Reducto,20-29,Female,B,0-29,,gswuxcf
13596,Mobilicorpus,40-49,Female,B,180+,,zcjgwra
18483,Mobilicorpus,50-59,Female,B,180+,,ttfrkim
12958,Sonorus,30-39,Female,B,30-59,,hluehvg
23610,Sonorus,50-59,Female,B,90-119,,xaybezi
19165,Sonorus,40-49,Female,B,30-59,,cgrocda
19450,Sonorus,50-59,Female,B,0-29,,qggbgsc
26430,Quietus,40-49,,B,90-119,,adxeaau
13493,Avada Kedavra,40-49,Female,B,0-29,,giufjel
22415,Duro,30-39,Male,B,0-29,,kysronq
16457,Locomotor Mortis,30-39,Female,B,90-119,,iwsaevo
14301,Locomotor Mortis,20-29,Male,B,0-29,,ocjgylr
20957,Locomotor Mortis,40-49,Male,B,0-29,,fmnwutu
24345,Locomotor Mortis,30-39,Male,B,0-29,,posmgcl
18703,Liberacorpus,40-49,Female,B,60-89,Ergonomic Chair,tzcbjmb
14515,Deprimo,40-49,Female,B,60-89,,kesizcp
16405,Confringo,30-39,Male,B,0-29,,phulbua
25728,Locomotor Mortis,30-39,Female,B,30-59,,vuymfyh
17923,Impedimenta,30-39,Male,B,180+,,llftzpi
20466,Meteolojinx Recanto,50-59,Female,B,0-29,,oocpwnc
19901,Defodio,50-59,Female,B,30-59,,qbnsfia
19164,Aparecium,50-59,Female,B,180+,,chcqasa
28056,Aparecium,50-59,Female,B,150-179,,zjehmgd
19984,Impedimenta,60>,Female,B,30-59,,khgeqrt
19437,Deprimo,60>,Female,B,30-59,,bgjjhml
24510,Deprimo,50-59,Male,B,30-59,,yghgsfr
24259,Impedimenta,40-49,Male,B,60-89,,kllqaui
10425,Confringo,50-59,Female,B,30-59,,yjhqhia
50025,Sonorus,40-49,Male,B,120-149,,ogdeows
11380,Levicorpus,50-59,Female,B,180+,,vyixlus
20238,Defodio,50-59,Female,B,0-29,,jfctvia
16887,Sonorus,30-39,Male,B,150-179,,bsfcwkz
22475,Sonorus,50-59,Male,B,0-29,,bheluvf
12436,Sonorus,30-39,Male,B,0-29,,xrtwpyl
20779,Geminio,30-39,Female,B,150-179,,mdlxbno
16427,Imperio,40-49,Female,B,120-149,,klojhor
28465,Imperio,50-59,Male,B,90-119,,jmhmkpn
19700,Mobilicorpus,20-29,Male,B,120-149,,tlnilrz
12514,Mobilicorpus,30-39,Male,B,30-59,,yqndosw
14296,Mobilicorpus,20-29,Female,B,180+,,mbuddme
13298,Fidelius Charm,30-39,Male,B,120-149,,lmuuzfu
19235,Fidelius Charm,60>,Male,B,60-89,,sgechur
25939,Fidelius Charm,50-59,Male,B,60-89,,dbrptlf
26604,Levicorpus,50-59,Female,B,180+,,vtjbfwc
20459,Protego Totalum,30-39,Male,B,30-59,,hnxjing
12422,Confringo,30-39,Female,B,0-29,,bfqnthl
12559,Locomotor Mortis,40-49,Female,B,60-89,,qlfecoe
13576,Locomotor Mortis,30-39,Female,B,150-179,,vskrgvc
12442,Locomotor Mortis,20-29,Male,B,180+,,jmxvwvw
14439,Locomotor Mortis,20-29,Male,B,30-59,,rjvwbqo
18725,Mobilicorpus,60>,Male,B,90-119,,cdiozdy
25333,Mobilicorpus,50-59,Male,B,90-119,Near Window,bdikueo
11188,Sonorus,50-59,Male,B,60-89,,iowlslf
28114,Imperio,40-49,Male,B,150-179,,fqvfgvg
12379,Locomotor Mortis,50-59,Male,B,90-119,,iqqghmb
11190,Duro,40-49,Female,B,60-89,,isetaji
22117,Locomotor Mortis,40-49,Female,B,60-89,,epmwysx
14653,Mobilicorpus,50-59,Male,B,150-179,,blcptbf
26131,Mobilicorpus,50-59,Female,B,0-29,,woykpdy
19401,Mobilicorpus,30-39,Male,B,150-179,,unfnqwl
18028,Locomotor Mortis,20-29,Female,B,60-89,,xazeqfw
13302,Sonorus,40-49,Male,B,30-59,,xvkulcs
20125,Mobilicorpus,50-59,Female,B,0-29,,trjwpss
14202,Mobilicorpus,50-59,Male,B,30-59,,bhhnwdj
13303,Locomotor Mortis,30-39,Male,B,180+,,wbjqler
28156,Locomotor Mortis,40-49,Female,B,0-29,,bdoxmmd
12431,Diffindo,30-39,Male,B,120-149,,mxlkynh
28216,Diffindo,40-49,Male,B,0-29,,llhakkp
19363,Mobilicorpus,60>,Female,B,120-149,,gaitjth
10201,Mobilicorpus,40-49,Female,B,0-29,,zcpyieb
22781,Mobilicorpus,30-39,Female,B,90-119,,nrafisv
28565,Deprimo,40-49,Female,B,180+,,ydzxbku
23276,Fidelius Charm,50-59,Male,B,180+,,vskdfeh
24211,Impedimenta,40-49,Male,B,150-179,,nqfsyky
13920,Confundo,40-49,,B,120-149,,txkssvp
10826,Geminio,40-49,Male,B,60-89,,zwoeupv
17085,Confringo,30-39,Male,B,30-59,,prmmtqo
18184,Confringo,30-39,Male,B,0-29,,pymdrca
20482,Confringo,40-49,Male,B,180+,,imailei
15274,Reducto,40-49,Male,B,0-29,,wfvmcef
11260,Duro,50-59,Female,B,0-29,,mytbttk
14319,Locomotor Mortis,30-39,Female,B,0-29,,qlbtabd
13209,Diffindo,50-59,Male,B,60-89,,uoallbu
13944,Levicorpus,30-39,Female,B,180+,,mxvfixj
12087,Defodio,40-49,Male,B,0-29,,eluxtmb
17103,Impedimenta,30-39,Male,B,90-119,,jlfvnsa
21194,Impedimenta,40-49,,B,30-59,,ypxyssp
11463,Confringo,50-59,Male,B,0-29,,drhrhsn
20087,Confringo,30-39,Female,B,30-59,,yxlxjpp
14227,Confringo,20-29,Male,B,120-149,,fixoibl
15775,Confringo,60>,Female,B,30-59,,mohxxcg
22859,Mobilicorpus,50-59,Female,B,30-59,,twkxpgy
22042,Sonorus,30-39,Male,B,180+,,ngqvbks
19491,Imperio,50-59,Female,B,30-59,,llhiafw
22198,Mobilicorpus,50-59,Female,B,30-59,,hhwjvkh
18226,Mobilicorpus,60>,Male,B,30-59,,ahbooex
20987,Locomotor Mortis,50-59,Male,B,60-89,,rkwaefu
28567,Locomotor Mortis,50-59,Male,B,60-89,,ghjeufm
13148,Confringo,40-49,Male,B,60-89,,ntkkwnh
12495,Duro,50-59,Female,B,0-29,,zxmgdhx
23442,Impedimenta,40-49,Female,B,30-59,,ahqlnig
10354,Aparecium,40-49,Female,B,180+,,zmgypoe
21098,Impedimenta,40-49,Male,B,90-119,,dwvcupn
23095,Impedimenta,40-49,Male,B,60-89,,sggjdhz
26058,Aparecium,50-59,Female,B,60-89,,casxqnr
13348,Deprimo,40-49,Female,B,30-59,,fxqzqgg
22621,Deprimo,50-59,Male,B,90-119,,gnqflly
21807,Deprimo,50-59,Male,B,30-59,,gfypdzy
10807,Deprimo,40-49,Female,B,180+,,xjhidvu
26674,Impedimenta,40-49,Female,B,180+,,didksqv
50684,Piertotum Locomotor,40-49,,B,90-119,,cyikesr
21867,Fidelius Charm,30-39,Female,B,30-59,,pbwyxgi
23750,Confringo,40-49,Male,B,30-59,,krjspau
10482,Duro,60>,Male,B,30-59,,egyzdyt
15175,Sonorus,30-39,Male,B,60-89,,rvvefjf
50288,Sonorus,40-49,Female,B,30-59,,kurqzav
22689,Geminio,40-49,,B,0-29,,tcmnbqx
19342,Fidelius Charm,40-49,Male,B,30-59,,jnctbzh
27992,Fidelius Charm,40-49,Male,B,0-29,,tjgtefk
19191,Mobilicorpus,30-39,Male,B,30-59,,gghewft
10176,Sonorus,40-49,Male,B,180+,,tqyikfc
12980,Confringo,50-59,Male,B,60-89,,xbnxkiz
28936,Fidelius Charm,50-59,Male,B,60-89,,ukfpkur
13396,Anapneo,40-49,Female,B,180+,,mziibay
15466,Locomotor Mortis,40-49,Female,B,0-29,,xutyjsn
19767,Confringo,30-39,Female,B,30-59,,wzcimom
24968,Reducto,50-59,Female,B,180+,,mkqrfud
24364,Confringo,50-59,Male,B,180+,,kgjggen
27205,Confringo,40-49,Male,B,60-89,,krhlxmv
28266,Locomotor Mortis,40-49,Male,B,60-89,,pbmkxrl
11351,Mobilicorpus,40-49,Female,B,150-179,,pnjebsr
26630,Aparecium,40-49,,B,0-29,,txdnjqo
13722,Deprimo,30-39,Male,B,30-59,,buullmi
10473,Impedimenta,50-59,Male,B,30-59,,ngmzngk
12116,Sonorus,50-59,Male,B,120-149,,fuxlzee
11911,Duro,50-59,Male,B,150-179,,ktszldr
28396,Impedimenta,30-39,Male,B,60-89,,rxedvvu
26458,Imperio,50-59,Female,B,0-29,,aduwfmw
10996,Impedimenta,40-49,Female,B,30-59,,lmcqeem
23694,Fidelius Charm,60>,Male,B,0-29,,dtfcwww
24260,Aparecium,40-49,Female,B,120-149,,tsgwwyp
20089,Mobilicorpus,60>,Male,B,60-89,,ssejdhj
18652,Fidelius Charm,40-49,Male,B,150-179,,djsazvd
22546,Impedimenta,20-29,Male,B,180+,,vqrwuth
12415,Confringo,30-39,Male,B,60-89,,urfkjyv
22161,Imperio,60>,Male,B,90-119,,fpanoox
20490,Meteolojinx Recanto,50-59,Female,B,30-59,,kpkhemf
24888,Nox,40-49,Female,B,30-59,,bipajmw
15864,Sonorus,40-49,Female,B,150-179,,xsuufkw
26198,Deprimo,50-59,Male,B,30-59,,ujbqofw
12492,Sonorus,30-39,Male,B,180+,,rhofine
26881,Fidelius Charm,60>,Male,B,180+,,ceyigir
13703,Locomotor Mortis,30-39,Female,B,120-149,,aejlwnl
18200,Confringo,40-49,,B,0-29,,pkjxcdk
12343,Deprimo,40-49,Male,B,0-29,,rcctten
50048,Sonorus,40-49,Female,B,30-59,,lemlfor
18033,Mobilicorpus,20-29,Male,B,30-59,,htyekfu
15867,Fidelius Charm,30-39,Male,B,0-29,,crxtyow
23016,Impedimenta,40-49,Female,B,120-149,,mwlxlzm
23709,Avada Kedavra,50-59,Male,B,90-119,,neztvon
18596,Anapneo,60>,Male,B,60-89,,wvqpjqa
21135,Defodio,40-49,Male,B,90-119,,msjknxr
13999,Sonorus,40-49,Male,B,150-179,,vcmnbwl
23176,Aparecium,50-59,Female,B,30-59,,lusgsiw
20338,Defodio,50-59,Female,B,30-59,,xxfrlgd
13290,Locomotor Mortis,30-39,Male,B,150-179,,veddxsf
19684,Duro,30-39,Male,B,0-29,,tjnpyir
18956,Levicorpus,40-49,Male,B,60-89,,vbsqzin
